English word,French word,Frequeny
project,projet,251
world,monde,904
library,bibliothèque,232
their,leur,2077
often,souvent,123
public,Publique,57
certain,certain,176
copyright,droits d'auteur,228
should,devrait,1579
version,version,222
complete,Achevée,246
works,travaux,249
provided,à condition de,252
college,Université,226
permission,autorisation,225
machine,machine,223
readable,lisible,224
copies,copies,446
distributed,distribué,443
others,autres,420
personal,personnel,234
prohibited,interdit,221
commercial,commercial,221
includes,comprend,223
service,un service,443
download,Télécharger,221
membership,adhésion,221
proud,fier,209
entertainment,divertissement,37
neither,ni,185
under,sous,297
welcome,Bienvenue,366
plain,plaine,121
since,depuis,448
these,celles-ci,1324
further,plus loin,190
below,au dessous de,54
number,nombre,55
letter,lettre,246
would,aurait,2298
about,sur,403
please,S'il vous plaît,395
midnight,minuit,43
month,mois,44
those,ceux,547
first,première,1171
least,moins,101
hours,heures,138
written,écrit,35
hundred,cent,115
which,lequel,2316
paper,papier,106
other,autre,707
point,point,147
general,général,213
small,petit,101
effect,effet,72
reputation,réputation,47
right,droite,352
subject,matière,105
either,Soit,172
although,bien que,79
request,demande,67
cannot,ne peux pas,762
party,fête,51
receive,recevoir,98
discover,découvrir,43
within,dans,493
money,argent,187
person,la personne,152
return,revenir,246
second,seconde,572
express,Express,47
particular,particulier,56
purpose,objectif,208
above,au dessus,147
cause,cause,337
freely,librement,55
think,pense,1073
write,écrire,125
desire,le désir,218
beauty,beauté,233
might,pourrait,500
never,jamais,1020
tender,soumissionner,148
memory,Mémoire,58
bright,brillant,70
light,lumière,267
making,fabrication,81
where,où,1346
sweet,sucré,801
cruel,cruel,71
fresh,Frais,89
spring,printemps,62
content,contenu,158
waste,déchets,44
grave,la tombe,184
shall,doit,3599
field,champ,189
youth,jeunesse,283
worth,vaut,205
being,étant,663
treasure,Trésor,53
shame,la honte,307
praise,louange,182
answer,répondre,423
child,enfant,241
count,compter,130
excuse,excuse,78
blood,du sang,653
glass,verre,59
another,un autre,455
whose,dont,615
repair,réparation,46
mother,mère,436
lovely,charmant,53
through,par,262
despite,malgré,52
golden,d'or,91
single,Célibataire,59
image,image,46
spend,dépenser,68
nature,la nature,385
nothing,rien,636
abuse,abuser de,46
given,donné,191
great,génial,920
having,ayant,155
alone,seul,236
leave,laisser,657
lives,vies,205
gentle,doux,369
frame,Cadre,46
every,chaque,491
dwell,habiter,41
summer,été,89
winter,hiver,73
there,Là,2204
quite,assez,86
walls,des murs,84
flowers,fleurs,46
though,bien que,631
substance,substance,41
still,encore,563
place,endroit,431
willing,prêt,40
breed,race,50
times,fois,204
could,pourrait,626
death,décès,900
depart,partir,66
living,vivant,120
burning,brûlant,46
sight,vue,201
looks,regards,214
sacred,sacré,47
majesty,majesté,269
strong,fort,196
mortal,mortel,98
weary,se lasser,76
feeble,faible,37
unless,sauf si,153
music,la musique,203
pleasure,plaisir,180
offend,offenser,60
chide,gronder,49
parts,les pièces,111
husband,mari,327
happy,heureux,202
prove,prouver,252
widow,veuve,123
behind,derrière,120
private,privé,66
shape,forme,87
toward,vers,103
grant,subvention,111
chief,chef,108
change,changement,155
thought,pensée,377
presence,présence,106
wisdom,sagesse,97
without,sans pour autant,366
folly,folie,80
cease,cesser,47
store,boutique,39
bounty,prime,41
meant,signifiait,50
tells,raconte,42
brave,courageux,160
night,nuit,670
behold,voir,162
barren,Dénudé,41
green,vert,111
borne,supporté,79
beard,barbe,96
question,question,156
themselves,se,159
hence,Par conséquent,368
longer,plus long,112
yours,le tiens,256
coming,venir,156
prepare,préparer,65
again,encore,769
after,après,418
issue,problème,111
house,maison,545
eternal,éternel,39
father,père,1075
stars,étoiles,70
pluck,cueillir,138
quality,qualité,55
fortune,fortune,362
brief,bref,91
thunder,tonnerre,71
heaven,paradis,652
knowledge,connaissance,78
constant,constant,48
truth,vérité,338
together,ensemble,257
thrive,prospérer,56
consider,considérer,58
thing,chose,359
holds,tient,82
little,peu,482
nought,néant,58
shows,montre,102
secret,secret,65
perceive,apercevoir,92
state,Etat,310
before,avant,839
tyrant,tyran,59
means,veux dire,264
stand,supporter,584
maiden,jeune fille,50
painted,peint,52
counterfeit,contrefaire,55
outward,vers l'extérieur,50
keeps,garde,75
drawn,tiré,86
skill,compétence,52
believe,croyez,240
knows,sait,213
faces,visages,53
tongue,langue,417
alive,vivant,90
twice,deux fois,72
rough,rugueux,72
shake,secouer,101
short,court,106
sometime,parfois,77
complexion,complexion,40
chance,chance,104
course,cours,157
blunt,cru,68
earth,Terre,317
teeth,les dents,56
fierce,féroce,40
sorry,Pardon,92
swift,rapide,68
forbid,interdire,74
wrong,faux,275
young,Jeune,465
woman,femme,411
master,Maître,842
mistress,maîtresse,453
passion,la passion,108
heart,cœur,1059
acquainted,connaissance,39
false,faux,296
fashion,mode,112
object,objet,39
souls,âmes,111
wrought,forgé,41
truly,vraiment,172
breast,Sein,98
elder,aîné,43
